# [Fe/H]	[Fe/H]_err	[Mg/Fe]	[Mg/Fe]_err	Log(age)	Log(age)_err
-1.0833	0.0397	0.2337	0.0378	nan	nan
-0.8451	0.0719	0.1184	0.0482	0.9746	0.0500	
-1.7668	0.0777	0.3059	0.0645	1.0530	0.0500	
-0.8797	0.0773	0.2026	0.0584	0.9929	0.0500	
-0.8799	0.0600	0.0568	0.0364	0.9792	0.0500	
-1.3786	0.0478	0.2275	0.0372	nan	nan
-1.8930	0.0629	0.5489	0.0427	1.1208	0.0500	
-1.8884	0.0785	0.1730	0.0859	nan	nan
-0.8378	0.0388	0.2477	0.0266	nan	nan
-1.3093	0.0832	0.2863	0.0681	0.9115	0.0500	
-0.7058	0.0521	0.1623	0.0281	nan	nan
-0.4548	0.0393	0.0852	0.0371	nan	nan
-1.2752	0.0699	0.1733	0.0605	1.1019	0.0500	
-1.3482	0.0462	0.3547	0.0529	nan	nan
-0.9479	0.0208	0.0621	0.0210	nan	nan
-0.7078	0.0586	0.1929	0.0371	nan	nan
-1.6173	0.0684	0.3511	0.0520	1.1277	0.0500	
-1.3026	0.0570	0.2098	0.0426	nan	nan
-1.0152	0.0511	0.2150	0.0562	1.0367	0.0500	
-1.8560	0.0720	0.2271	0.1019	nan	nan
-1.1988	0.0494	0.2002	0.0486	nan	nan
-1.8051	0.0977	0.2023	0.0985	1.1064	0.0500	
-2.1069	0.0894	0.5121	0.0650	1.0500	0.0500	
-0.7866	0.0540	0.1221	0.0444	nan	nan
-0.9275	0.0833	0.1302	0.0465	1.0129	0.0500	
-1.8542	0.0496	0.4068	0.0781	nan	nan
-0.7863	0.0366	0.1823	0.0293	nan	nan
-0.4892	0.0334	0.0277	0.0351	nan	nan
-1.2649	0.0496	0.0516	0.0495	nan	nan
-1.2502	0.0339	0.2871	0.0362	nan	nan
-1.5457	0.0748	0.4451	0.0561	nan	nan
-1.0214	0.0381	0.1867	0.0308	nan	nan
-0.7529	0.0290	0.1306	0.0307	nan	nan
-0.8931	0.0322	0.2151	0.0256	1.0210	0.0500	
-0.7446	0.0553	0.1191	0.0423	nan	nan
-1.4660	0.0569	0.2973	0.0427	1.1071	0.0500	
