# [Fe/H]	[Fe/H]_err	[Mg/Fe]	[Mg/Fe]_err	Log(age)	Log(age)_err
-1.3822	0.0722	0.2234	0.0746	1.1115	0.0500	
-0.7273	0.0379	0.1213	0.0361	1.0483	0.0500	
-0.8066	0.0316	0.0749	0.0276	nan	nan
-1.8654	0.0614	0.3853	0.0898	1.1081	0.0500	
-1.0644	0.0355	0.4000	0.0238	nan	nan
-1.0726	0.0414	0.1384	0.0427	1.0859	0.0500	
-0.9685	0.0444	0.2238	0.0434	nan	nan
-1.3648	0.0741	0.3965	0.0504	1.0518	0.0500	
-0.9961	0.0554	0.1098	0.0597	nan	nan
-1.1441	0.0600	0.2623	0.0569	0.9301	0.0500	
-1.0356	0.0461	0.1785	0.0495	nan	nan
-0.9026	0.0289	0.1841	0.0205	nan	nan
-1.0975	0.0238	0.2793	0.0269	nan	nan
-1.3328	0.0658	0.2559	0.0606	0.9749	0.0500	
-1.1017	0.0573	0.2876	0.0521	0.9927	0.0500	
-1.6312	0.0461	0.1962	0.0549	nan	nan
-0.9279	0.0578	0.1571	0.0401	0.9622	0.0500	
-2.4746	0.1191	0.4301	0.0864	1.1196	0.0500	
-0.8620	0.0682	0.1421	0.0417	0.9594	0.0500	
-2.2198	0.0624	0.4340	0.0769	nan	nan
-1.2366	0.0394	0.1533	0.0390	nan	nan
-1.0870	0.0472	0.2564	0.0538	nan	nan
-1.0753	0.0491	0.2754	0.0588	nan	nan
-1.1702	0.0412	0.1210	0.0334	nan	nan
-1.2216	0.0503	0.2947	0.0419	1.1032	0.0500	
-0.6453	0.0353	0.0055	0.0343	1.0787	0.0500	
-1.3253	0.0432	0.2294	0.0507	nan	nan
-1.6538	0.0417	0.3343	0.0589	nan	nan
-1.3340	0.0526	0.1270	0.0692	nan	nan
-0.9107	0.0344	0.1832	0.0306	nan	nan
-1.2887	0.0457	0.1750	0.0599	nan	nan
-1.5216	0.0678	0.2928	0.0764	1.1177	0.0500	
-1.3675	0.0359	0.2819	0.0434	nan	nan
-1.1073	0.0491	0.2503	0.0404	0.9566	0.0500	
-1.2113	0.0405	0.1951	0.0415	nan	nan
-2.1234	0.0846	0.4480	0.0812	nan	nan
-1.2180	0.0667	0.2336	0.0546	0.9886	0.0500	
-0.8065	0.0551	0.1434	0.0358	0.9935	0.0500	
-0.8413	0.0429	0.2485	0.0316	nan	nan
-0.6639	0.0448	0.1236	0.0442	1.0778	0.0500	
-1.1150	0.0431	0.1767	0.0450	1.0592	0.0500	
-0.4592	0.0316	0.1194	0.0215	0.9661	0.0500	
-1.0120	0.0375	0.0964	0.0541	1.1243	0.0500	
-1.0394	0.0458	0.2512	0.0575	1.1047	0.0500	
-1.0480	0.0309	0.1518	0.0376	nan	nan
-2.5175	0.1007	0.4940	0.0798	1.1206	0.0500	
-0.4275	0.0378	0.1055	0.0356	0.9699	0.0500	
-1.0421	0.0344	0.2537	0.0471	nan	nan
-1.9097	0.0550	0.3824	0.0732	nan	nan
-0.8991	0.0833	0.2016	0.0538	0.9474	0.0500	
-1.3252	0.0599	0.2511	0.0460	nan	nan
-0.9623	0.0402	0.1569	0.0478	1.1144	0.0500	
-0.9654	0.0453	0.1755	0.0478	1.0502	0.0500	
-1.1264	0.0341	0.2658	0.0300	nan	nan
-1.0051	0.0427	0.2991	0.0421	nan	nan
-1.5659	0.0672	0.3667	0.0730	nan	nan
-2.0884	0.0629	0.2864	0.1131	nan	nan
-1.5561	0.0276	0.2349	0.0320	nan	nan
-1.3061	0.0546	0.4012	0.0615	1.0434	0.0500	
-1.0168	0.0372	0.2108	0.0363	nan	nan
-1.1120	0.0650	0.2058	0.0509	1.0201	0.0500	
-2.2547	0.0593	0.4484	0.0625	nan	nan
-1.4146	0.0588	0.2032	0.0738	nan	nan
-0.7062	0.0298	0.1551	0.0243	nan	nan
-1.3454	0.0684	0.2825	0.0592	1.0162	0.0500	
-1.3017	0.0487	0.2502	0.0328	1.1185	0.0500	
-1.0642	0.0320	0.1691	0.0342	nan	nan
-0.7721	0.0482	0.2955	0.0454	1.0665	0.0500	
-1.0281	0.0515	0.1316	0.0306	1.0573	0.0500	
-1.1235	0.0606	0.3220	0.0513	nan	nan
-1.1833	0.0333	0.2616	0.0369	nan	nan
-1.2755	0.0674	0.2407	0.0490	1.0035	0.0500	
-1.3834	0.0665	0.2915	0.0731	1.0782	0.0500	
-0.9606	0.0381	0.2251	0.0302	nan	nan
-0.7656	0.0201	0.1220	0.0249	nan	nan
-1.2009	0.0687	0.3581	0.0609	0.9545	0.0500	
-1.6784	0.0785	0.4845	0.0501	0.9719	0.0500	
-1.3810	0.0704	0.2189	0.0670	1.0306	0.0500	
-1.1871	0.0430	0.2479	0.0514	nan	nan
-0.9411	0.0352	0.3183	0.0450	nan	nan
-1.0966	0.0565	0.2383	0.0534	0.9663	0.0500	
-1.1174	0.0685	0.2103	0.0503	1.0369	0.0500	
-1.1906	0.0524	0.1633	0.0472	nan	nan
-1.0279	0.0439	0.2425	0.0323	1.0030	0.0500	
-1.3664	0.0526	0.3469	0.0682	1.0790	0.0500	
-1.2761	0.0654	0.3283	0.0450	0.8954	0.0500	
-0.8757	0.0634	0.1955	0.0411	0.9727	0.0500	
-1.0302	0.0894	0.3596	0.0607	0.8829	0.0500	
-1.2148	0.0630	0.2511	0.0439	0.8687	0.0500	
-1.1283	0.0441	0.3110	0.0463	nan	nan
-1.5975	0.0490	0.3378	0.0531	nan	nan
-1.2967	0.0693	0.3132	0.0519	1.0142	0.0500	
-0.5720	0.0389	0.1234	0.0469	0.9707	0.0500	
-2.1859	0.0566	0.4301	0.0661	nan	nan
-1.2910	0.0671	0.3425	0.0538	0.9914	0.0500	
-1.1337	0.0337	0.2357	0.0395	nan	nan
-0.5654	0.0303	0.0988	0.0293	nan	nan
-0.8950	0.0460	0.1983	0.0383	0.9914	0.0500	
-0.9842	0.0833	0.2418	0.0552	0.9382	0.0500	
-0.9227	0.0712	0.1239	0.0521	0.9849	0.0500	
-0.6113	0.0272	0.0915	0.0220	nan	nan
-1.0633	0.0394	0.1993	0.0407	nan	nan
-0.6839	0.0594	0.1367	0.0479	0.9133	0.0500	
-1.0353	0.0395	0.2639	0.0418	1.0961	0.0500	
-1.3743	0.0651	0.3657	0.0699	1.0538	0.0500	
-1.5402	0.0438	0.3447	0.0625	1.1220	0.0500	
-0.9867	0.0407	0.1285	0.0404	nan	nan
-1.0279	0.0691	0.1225	0.0622	1.0152	0.0500	
-1.3724	0.0647	0.4065	0.0525	0.9332	0.0500	
-1.1582	0.0448	0.2279	0.0540	nan	nan
-0.9498	0.0363	0.2018	0.0358	nan	nan
-1.4819	0.0463	0.3395	0.0602	nan	nan
-0.8731	0.0346	0.1896	0.0281	nan	nan
-0.6673	0.0321	0.1504	0.0309	nan	nan
-0.9934	0.0437	0.1570	0.0388	nan	nan
-0.5613	0.0486	0.1262	0.0459	0.9235	0.0500	
-0.7424	0.0348	0.1070	0.0344	1.0285	0.0500	
-1.2094	0.0362	0.2092	0.0418	nan	nan
-0.5977	0.0219	0.0444	0.0265	nan	nan
-1.0430	0.0493	0.3497	0.0552	0.9990	0.0500	
-1.2318	0.0348	0.3414	0.0328	1.1392	0.0500	
-1.0309	0.0625	0.3804	0.0648	0.7731	0.0500	
-0.8187	0.0404	0.1558	0.0354	1.0173	0.0500	
-1.2761	0.0599	0.2442	0.0525	1.1069	0.0500	
-1.7630	0.0507	0.4268	0.0483	1.1361	0.0500	
-1.1238	0.0359	0.2834	0.0291	nan	nan
-0.8832	0.0274	0.1175	0.0335	nan	nan
-0.5462	0.0307	0.0862	0.0339	nan	nan
-1.4770	0.0469	0.1329	0.0495	nan	nan
-1.3386	0.0382	0.3099	0.0402	1.0918	0.0500	
-0.9966	0.0553	0.2665	0.0598	1.0088	0.0500	
-2.0251	0.0905	0.4094	0.0824	nan	nan
-0.9673	0.0671	0.1732	0.0462	0.9753	0.0500	
-1.3062	0.0228	0.2580	0.0276	nan	nan
-1.5932	0.0542	0.2419	0.0576	nan	nan
-0.7957	0.0337	0.1235	0.0273	nan	nan
-1.3797	0.0541	0.3714	0.0396	1.1383	0.0500	
-0.7915	0.0602	0.2240	0.0451	0.9080	0.0500	
-0.8342	0.0531	0.1078	0.0415	1.0219	0.0500	
-0.7084	0.0590	0.0134	0.0339	0.9290	0.0500	
-1.0342	0.0348	0.2871	0.0279	nan	nan
-1.6974	0.0451	0.4434	0.0570	1.1178	0.0500	
-1.0555	0.0577	0.2502	0.0476	1.0973	0.0500	
-0.9219	0.0393	0.2704	0.0379	nan	nan
-1.4479	0.0586	0.2929	0.0485	nan	nan
-0.6293	0.0344	0.1274	0.0303	nan	nan
-1.4906	0.0646	0.2466	0.0578	1.1181	0.0500	
-2.2734	0.0591	0.4557	0.0621	nan	nan
-1.2508	0.0574	0.3373	0.0416	0.9051	0.0500	
-0.7915	0.0542	0.1575	0.0508	1.0036	0.0500	
-1.6816	0.0793	0.3422	0.0732	1.1269	0.0500	
-1.5883	0.0788	0.3487	0.0681	1.0705	0.0500	
-0.9096	0.0621	0.3126	0.0643	0.6995	0.0500	
